ConfigID,index,entityName,category,geomFileName,matSysFileName,x,y,z
973,0,water,water,water,ms/osvWater.ms,0,0,0
973,1,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
973,2,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
973,3,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
973,4,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
973,5,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
974,6,water,water,water,ms/osvWater.ms,0,0,0
974,7,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
974,8,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
974,9,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
974,10,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
974,11,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
975,12,water,water,water,ms/osvWater.ms,0,0,0
975,13,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
975,14,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
975,15,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
975,16,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
975,17,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
976,18,water,water,water,ms/osvWater.ms,0,0,0
976,19,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
976,20,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
976,21,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
976,22,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
976,23,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
977,24,water,water,water,ms/osvWater.ms,0,0,0
977,25,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
977,26,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
977,27,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
977,28,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
977,29,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
978,30,water,water,water,ms/osvWater.ms,0,0,0
978,31,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
978,32,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
978,33,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
978,34,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
978,35,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
979,36,water,water,water,ms/osvWater.ms,0,0,0
979,37,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
979,38,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
979,39,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
979,40,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
979,41,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
980,42,water,water,water,ms/osvWater.ms,0,0,0
980,43,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
980,44,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
980,45,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
980,46,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
980,47,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
981,48,water,water,water,ms/osvWater.ms,0,0,0
981,49,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
981,50,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
981,51,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
981,52,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
981,53,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
982,54,water,water,water,ms/osvWater.ms,0,0,0
982,55,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
982,56,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
982,57,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
982,58,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
982,59,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
983,60,water,water,water,ms/osvWater.ms,0,0,0
983,61,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
983,62,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
983,63,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
983,64,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
983,65,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
984,66,water,water,water,ms/osvWater.ms,0,0,0
984,67,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
984,68,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
984,69,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
984,70,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
984,71,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
985,72,water,water,water,ms/osvWater.ms,0,0,0
985,73,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
985,74,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
985,75,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
985,76,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
985,77,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
986,78,water,water,water,ms/osvWater.ms,0,0,0
986,79,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
986,80,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
986,81,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
986,82,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
986,83,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
987,84,water,water,water,ms/osvWater.ms,0,0,0
987,85,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
987,86,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
987,87,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
987,88,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
987,89,hajimi4,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
988,90,water,water,water,ms/osvWater.ms,0,0,0
988,91,manbo,default category,object/manbo/manbo.flt,object/manbo/manboemat.ms,0,0,0
988,92,hajimi1,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
988,93,hajimi2,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
988,94,hajimi3,default category,object/hajimi/hajimiuntitled.flt,object/hajimi/hajimiuntitled.ms,0,0,0
