ConfigID,time,date,hazeModel,cloudMode,visibility,rainRate
163,0:00,07/24/2024,3,0,0,0
164,0:00,07/24/2024,3,0,0,0
165,0:00,07/24/2024,3,0,0,0
166,0:00,07/24/2024,3,0,0,0
167,0:00,07/24/2024,3,0,0,0
168,0:00,07/24/2024,3,0,0,0
169,0:00,07/24/2024,3,0,0,0
170,0:00,07/24/2024,3,0,0,0
171,0:00,07/24/2024,3,0,0,0
172,0:00,07/24/2024,3,0,0,0
173,0:00,07/24/2024,3,0,0,0
174,0:00,07/24/2024,3,0,0,0
175,0:00,07/24/2024,3,0,0,0
176,0:00,07/24/2024,3,0,0,0
177,0:00,07/24/2024,3,0,0,0
178,0:00,07/24/2024,3,0,0,0
179,0:00,07/24/2024,3,0,0,0
180,0:00,07/24/2024,3,0,0,0
181,0:00,07/24/2024,3,0,0,0
182,0:00,07/24/2024,3,0,0,0
183,0:00,07/24/2024,3,0,0,0
184,0:00,07/24/2024,3,0,0,0
185,0:00,07/24/2024,3,0,0,0
186,0:00,07/24/2024,3,0,0,0
187,0:00,07/24/2024,3,0,0,0
188,0:00,07/24/2024,3,0,0,0
189,0:00,07/24/2024,3,0,0,0
190,0:00,07/24/2024,3,0,0,0
191,0:00,07/24/2024,3,0,0,0
192,0:00,07/24/2024,3,0,0,0
193,0:00,07/24/2024,3,0,0,0
194,0:00,07/24/2024,3,0,0,0
195,0:00,07/24/2024,3,0,0,0
196,0:00,07/24/2024,3,0,0,0
197,0:00,07/24/2024,3,0,0,0
198,0:00,07/24/2024,3,0,0,0
199,0:00,07/24/2024,3,0,0,0
200,0:00,07/24/2024,3,0,0,0
201,0:00,07/24/2024,3,0,0,0
202,0:00,07/24/2024,3,0,0,0
203,0:00,07/24/2024,3,0,0,0
204,0:00,07/24/2024,3,0,0,0
205,0:00,07/24/2024,3,0,0,0
206,0:00,07/24/2024,3,0,0,0
207,0:00,07/24/2024,3,0,0,0
208,0:00,07/24/2024,3,0,0,0
209,0:00,07/24/2024,3,0,0,0
210,0:00,07/24/2024,3,0,0,0
211,0:00,07/24/2024,3,0,0,0
212,0:00,07/24/2024,3,0,0,0
213,0:00,07/24/2024,3,0,0,0
214,0:00,07/24/2024,3,0,0,0
215,0:00,07/24/2024,3,0,0,0
216,0:00,07/24/2024,3,0,0,0
217,0:00,07/24/2024,3,0,0,0
218,0:00,07/24/2024,3,0,0,0
219,0:00,07/24/2024,3,0,0,0
220,0:00,07/24/2024,3,0,0,0
221,0:00,07/24/2024,3,0,0,0
222,0:00,07/24/2024,3,0,0,0
223,0:00,07/24/2024,3,0,0,0
224,0:00,07/24/2024,3,0,0,0
225,0:00,07/24/2024,3,0,0,0
226,0:00,07/24/2024,3,0,0,0
227,0:00,07/24/2024,3,0,0,0
228,0:00,07/24/2024,3,0,0,0
229,0:00,07/24/2024,3,0,0,0
230,0:00,07/24/2024,3,0,0,0
231,0:00,07/24/2024,3,0,0,0
232,0:00,07/24/2024,3,0,0,0
233,0:00,07/24/2024,3,0,0,0
234,0:00,07/24/2024,3,0,0,0
235,0:00,07/24/2024,3,0,0,0
236,0:00,07/24/2024,3,0,0,0
237,0:00,07/24/2024,3,0,0,0
238,0:00,07/24/2024,3,0,0,0
239,0:00,07/24/2024,3,0,0,0
240,0:00,07/24/2024,3,0,0,0
241,0:00,07/24/2024,3,0,0,0
242,0:00,07/24/2024,3,0,0,0
243,0:00,07/24/2024,3,0,0,0
244,0:00,07/24/2024,3,0,0,0
245,0:00,07/24/2024,3,0,0,0
246,0:00,07/24/2024,3,0,0,0
247,0:00,07/24/2024,3,0,0,0
248,0:00,07/24/2024,3,0,0,0
249,0:00,07/24/2024,3,0,0,0
250,0:00,07/24/2024,3,0,0,0
251,0:00,07/24/2024,3,0,0,0
252,0:00,07/24/2024,3,0,0,0
253,0:00,07/24/2024,3,0,0,0
254,0:00,07/24/2024,3,0,0,0
255,0:00,07/24/2024,3,0,0,0
256,0:00,07/24/2024,3,0,0,0
257,0:00,07/24/2024,3,0,0,0
258,0:00,07/24/2024,3,0,0,0
259,0:00,07/24/2024,3,0,0,0
260,0:00,07/24/2024,3,0,0,0
261,0:00,07/24/2024,3,0,0,0
262,0:00,07/24/2024,3,0,0,0
263,0:00,07/24/2024,3,0,0,0
264,0:00,07/24/2024,3,0,0,0
265,0:00,07/24/2024,3,0,0,0
266,0:00,07/24/2024,3,0,0,0
267,0:00,07/24/2024,3,0,0,0
268,0:00,07/24/2024,3,0,0,0
269,0:00,07/24/2024,3,0,0,0
270,0:00,07/24/2024,3,0,0,0
271,0:00,07/24/2024,3,0,0,0
272,0:00,07/24/2024,3,0,0,0
273,0:00,07/24/2024,3,0,0,0
274,0:00,07/24/2024,3,0,0,0
275,0:00,07/24/2024,3,0,0,0
276,0:00,07/24/2024,3,0,0,0
277,0:00,07/24/2024,3,0,0,0
278,0:00,07/24/2024,3,0,0,0
279,0:00,07/24/2024,3,0,0,0
280,0:00,07/24/2024,3,0,0,0
281,0:00,07/24/2024,3,0,0,0
282,0:00,07/24/2024,3,0,0,0
283,0:00,07/24/2024,3,0,0,0
284,0:00,07/24/2024,3,0,0,0
285,0:00,07/24/2024,3,0,0,0
286,0:00,07/24/2024,3,0,0,0
287,0:00,07/24/2024,3,0,0,0
288,0:00,07/24/2024,3,0,0,0
289,0:00,07/24/2024,3,0,0,0
290,0:00,07/24/2024,3,0,0,0
291,0:00,07/24/2024,3,0,0,0
292,0:00,07/24/2024,3,0,0,0
293,0:00,07/24/2024,3,0,0,0
294,0:00,07/24/2024,3,0,0,0
295,0:00,07/24/2024,3,0,0,0
296,0:00,07/24/2024,3,0,0,0
297,0:00,07/24/2024,3,0,0,0
298,0:00,07/24/2024,3,0,0,0
299,0:00,07/24/2024,3,0,0,0
300,0:00,07/24/2024,3,0,0,0
301,0:00,07/24/2024,3,0,0,0
302,0:00,07/24/2024,3,0,0,0
303,0:00,07/24/2024,3,0,0,0
304,0:00,07/24/2024,3,0,0,0
305,0:00,07/24/2024,3,0,0,0
306,0:00,07/24/2024,3,0,0,0
307,0:00,07/24/2024,3,0,0,0
308,0:00,07/24/2024,3,0,0,0
309,0:00,07/24/2024,3,0,0,0
310,0:00,07/24/2024,3,0,0,0
311,0:00,07/24/2024,3,0,0,0
312,0:00,07/24/2024,3,0,0,0
313,0:00,07/24/2024,3,0,0,0
314,0:00,07/24/2024,3,0,0,0
315,0:00,07/24/2024,3,0,0,0
316,0:00,07/24/2024,3,0,0,0
317,0:00,07/24/2024,3,0,0,0
318,0:00,07/24/2024,3,0,0,0
319,0:00,07/24/2024,3,0,0,0
